isbn,bid
9781460328637,20791477
9781476716862,18144129
9781250077004,23848559
9780451472403,25890355
9780061992278,18635000
9781476766737,18870197
9780307393876,8389671
9780994054425,28572472
9781420136043,25488853
9781420139020,26236863
9780679603856,12609432
9781492623441,25573977
9780385343183,7089888
9780312583217,23014570
9780385737951,7805064
9780399159305,17707502
A00B00BUPMC8C,
9781101608562,15761365
9780778312703,11106413
9781250019677,16045078
9781602863026,25898210
9781455527212,17333848
9781250036131,17934481
9780425265604,23659127
9780547617954,23874640
9781400067602,9628743
9780061929373,6428887
9780804138154,25430281
9780142425763,25065433
9781101620380,17681682
9781419939044,13107661
9780307908148,17910703
9780062301260,22535480
9781101569436,17169474
9780345510587,8872596
A00B016TO0AOG,
9780544715677,26195712
9780446539821,5327061
9780307271563,5668391
9781595230768,10649581
9781439138311,4954833
9780345531001,22140680
9781429920162,10774209
9780316098755,12054659
9780062320407,18635131
9781455581160,25114548
9781616202750,17086119
9781941229651,
9781451635119,25814413
9780785198840,25066824
9780062429971,22886868
9780399159268,13593559
9780316380102,22875118
9780142418475,7958389
9780307986276,13573424
9781250078971,24464168
9780307594037,13414676
9781632362537,26067706
9780812992977,12852666
9780698191938,26013738
9781455584932,26245872
9780312547738,10869746
9781101604786,14744207
9780062372109,23215469
9781101594995,16557835
9780345548498,18594758
9780385353779,24189224
9781460386897,27904866
9780778329312,8850167
9780804170710,18209689
9780316247764,23197288
9781101477670,10441284
9781476710457,22609396
9780312642693,9751378
9780804180931,23834676
9780698191808,27240151
9781620408933,20889470
9781400068722,8459594
9781451638455,12998057
9781594204098,13588414
9780761184232,26314041
9780316192163,11528279
9781451617726,9758764
9780062278784,17383994
9781452154770,26075973
9780804173407,23602546
9781101554272,12794832
9780399156823,7745031
9781400069989,24388414
9780441019717,8133097
9780515156119,26026040
9780062072931,16065444
9780804177641,18428148
9781617731242,18202459
9780307885937,18630653
9780061239229,5945498
9780316407014,23341628
9780385352109,19288239
9781455525584,15789630
9781101599013,23216055
9780061859298,7083018
9781101529201,10817587
9781101608555,15761362
9780062388148,25657772
9780316278232,17724866
9781484724958,25067043
9780786963645,15797384
9780385344401,12444166
9780525954330,22571556
9781101609248,17322152
9780698148611,21549330
9780062347275,25743802
9780062218322,18599697
9780062135124,13060542
9781626921672,23310811
9781476733531,27408113
9780316071901,7113137
9780345521101,11577032
9780441017157,5161066
9781439133613,7106681
A00B00BD9HOY2,
9781421585659,25784119
9780345545565,17857800
9780062079534,11009732
9781476745046,22609419
9780312533786,3050104
9781451678871,25814543
9780553804331,2210921
9780525953487,15811568
9780316097567,11165711
9780061348174,17348993
9781476779737,21943134
9780544323520,23719344
9781627792424,25671634
9780670022243,7839766
9781419720789,26113426
9780399174667,23398895
9780763678180,25163300
9780316211154,21423303
9781476717142,18870473
9780385523219,2458342
9780345526540,15841851
9780525954927,27774705
9780307719942,12254077
9780547416113,7098359
9781451648317,21942942
9780061784781,7202829
9781420130140,22149936
9781452106557,13163846
9780061468414,11827476
A00B009FHSYSY,
9781451606409,26333193
9781439148716,13260452
9780385527200,13331182
9780449818398,17182246
9780062127242,13609867
9780765321565,17910043
9780312651329,15793075
9780345530974,20697408
9781421582641,25111253
9780062249357,25816777
9781451646986,12174691
9781416565116,2990651
9780385526340,4601396
9781401304669,13622966
9781400064946,6324914
9781101947135,27071490
9781942215363,
9780345530431,15823273
9780307596888,13533788
9781250074843,23637517
9781476718217,15851682
9780547601205,12457211
9780805087741,6902794
9780525950974,3851330
9781250109316,27844852
9781439136829,10790516
9781501110726,25814540
9780345524492,9265453
9780991379644,
9780312364120,6668467
9780985003784,17699922
9780345535917,20442902
9780307455925,18209268
9780345528896,17910542
9781594205460,18114115
9780345535535,15981532
9780345531049,24040467
9781451694833,13547542
9780345534637,12784861
9780756410438,21535271
9780553446753,23568179
9780316306089,26030703
9781630350857,
9780698185890,25524583
9781937608514,30340461
9780062328069,19367296
9780062349873,22895349
9780062223920,21856122
9781466841680,18374846
9781101597767,23300163
9780374298630,18490657
9780698184350,
9781416586616,10517947
9780345530578,18050075
9781101946978,26108967
9780312651282,11522547
9781400069347,12752313
9781501105135,23168456
9780062024237,18085418
9781416562177,4699918
A00B00PKTN7SI,
9781401229788,25241697
9780399157707,13593555
9780307955586,13531646
9780316018609,2285777
A00B00790TI0W,
9781101615898,22108443
9780061767890,6303704
9780545326995,13436373
9780399159725,15815367
9780143126812,22521575
9781401303914,12418635
9780307790514,11057217
9780812984613,16071626
9781460313213,17778545
9780062311115,22693231
9781459213791,12168017
9780451463173,6585201
9780451414137,26026013
9780525951308,6353919
9781940218380,
9780310330912,16182611
9780553419979,25733714
9781937608415,25945149
9781401242411,17671920
9781414381855,18872987
9780425255803,13149204
A00B00O13WW1W,
9781455549603,17446677
9780547840055,17165917
A00B00CR6Q5HM,
9781596983144,16093626
9781400205837,17657597
9780061969676,15818245
9781459201521,10897899
9781416533160,3678952
9780316548182,318431
9781101581520,15990163
9781620401408,18363833
9780670025299,13589153
9780312343552,3701072
A00B00C0X6LG2,
9780061957932,17285883
9780805062908,16044941
9780803740167,22504701
9780399157332,16158496
9780804178792,28363964
9780802191670,27553055
9781101081440,
9781419714917,22509955
9781476790220,22609307
9780446547659,10766509
9780143109464,26067879
A00B00CYNGPTG,
9780312368159,6717377
9780316369862,18360158
9781451693591,23492741
9780553897852,7110077
9781484720349,23295182
9780312303785,7831608
9781420134988,24388490
9780385388894,20360301
9780804136648,21408700
9781420135947,24869671
9780062334510,26198846
9780679644095,16169735
9780062386984,23607738
9780812993295,13227454
A00B00ALCKQGA,
9781250022097,24701732
9781419716805,24795872
9781441207845,11079894
9780399174681,24611816
9781455586387,25697900
9780345495303,6603335
9781250019653,16066855
9781429962230,11520432
9780399157653,11038266
9780425247440,12377535
9780446527897,7290812
9781421584461,25814245
9781940270265,30846844
9780756407452,13515085
9781451647037,15802385
9780062311870,22836632
9781484719329,24172090
9780316319218,28925613
9781101910085,22926879
9780515155815,25310647
9781942872481,25434370
9780399155659,5867840
9780312348670,2120652
9780525954606,18667959
9780062422262,25742710
9781101979983,27405699
9781618689801,22419192
9781608192403,12222585
9781936365746,13722902
9781250066633,22823307
9780812993103,25776122
9780345525543,10032672
9781476783451,25111047
9781476745060,25111123
9781101608548,15761361
9780061374227,2731276
9781401259693,26067585
9780373788989,24338319
9781607749721,25614984
9780307377043,2615008
9781910167762,
9780698161481,28926034
A00B00JUC8DNK,
9780156033060,8699420
9780062270184,18698828
9780399171277,23398600
9781460382271,26333638
9780446574624,12918218
9780670015672,18693684
9781594488580,4163411
9780515156096,25058405
9780345527752,15797140
9780399156786,7897258
9781101636022,18689436
9780385343176,11160826
9780062390776,27064379
9780374280604,20575440
9780062310651,22308716
9780345523211,11528440
9781416996422,7150687
9780399154911,2003767
9781608198061,18594409
9780312380724,5355136
9781612629803,24531650
9780375725609,259028
9780316376105,24819532
9781101618950,17134643
9781632362551,26150677
9781492622468,24529123
9780307956378,12617760
9780307459848,7264815
9780307911551,22747192
9781476744766,17382724
9781401324827,24376905
9780399159121,12941649
9781451648553,11084141
9781612308340,
9781942215035,
9780307958358,17736846
9780345505675,6621101
9780316334501,26370328
9780316076319,6981298
9780316034418,10428102
9780062116758,12087968
9781583334676,22514020
9780062078124,17191641
9781401256029,24939795
9781101583753,14625642
9780345495938,2798094
9780307449733,7224310
9781594203077,11104933
9781621572558,21413965
9781101602232,22587974
9780545540605,18225810
9780060829858,2183985
9780062409850,24817626
9781101882528,29092788
9780373776009,10047683
9780759514713,9927721
9781633500082,
9780345530448,12305445
9780525952978,13586737
9780061747489,10250732
9780988301337,
9780785197898,27247275
9780316305013,24487011
9781401324438,10532477
9780767926416,7539971
9780698155626,
9781907704963,21535553
9781476739878,17302535
9781439192382,15802730
9780399169151,22521941
9781455529513,19163728
9781459222779,13613100
9781476710815,20736492
9781455501762,18296120
9780316334518,25746697
9781484726389,23507759
9781592406531,11128322
9780399156441,7116365
9780399165894,18079632
9781455517169,26368966
9780345534187,23995231
9780547573144,13057636
A00B00FLG5B9S,
9781401262471,27272308
9781451628036,13547230
9781616202439,17125100
9781101561263,12789349
9780553807257,8701129
9781501117695,25246752
9780698185111,27285235
9780786952335,6106714
9780307266521,26109020
9780062325341,20768868
9780670023486,11559200
9780698161351,25379099
9781476717166,27276443
9780399159749,22571522
9780698180512,
9781439133941,7841670
9781402277832,19001904
9781621572770,23330560
9780062323217,18427243
9780812992946,16054830
9780425280102,24611454
A00B00M9ISBAW,
9780374384746,26074586
9780316406871,27161858
9780765317698,18665948
9781455576425,17693783
9781416563792,3093753
9780345531063,26067469
9781455586790,25712281
9780446563086,7108001
9781455576470,17557581
9781476717111,16130169
9781439150030,7932168
9780142410707,1320817
9780759507913,9932224
9781476746609,18170778
9780393245455,26889519
9781455538256,25820275
9781632361127,25252302
9781250065940,26114516
9780062065261,15819193
9780385344418,12444297
9780345521934,8781660
9781481438865,22522202
9781101560389,12896448
A00B00JG8FKO8,
9781101476161,10168832
